method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cnf,28,303.586,302.916,304.225,301.9,False,22.1145,21.6329,22.6161,22.9351,False,0.672444,0.531782,0.857063,0.553334,0.499401,0.687134
cnf,29,302.773,302.083,303.464,302.7,True,21.7389,21.2519,22.2447,21.9861,True,0.64376,0.512099,0.845707,0.56412,0.499669,0.713016
cvae,0,304.137,303.498,304.794,302.75,False,23.3855,22.8521,23.9014,25.0636,False,0.64656,0.509964,0.84081,0.575954,0.504664,0.737175
cvae,1,302.677,302.029,303.354,301.55,False,24.0677,23.5725,24.5632,25.504,False,0.65608,0.510542,0.85019,0.588849,0.506907,0.758232
cvae,2,308.2,307.53,308.856,308.01,True,23.3011,22.8226,23.8201,24.0739,False,0.644059,0.507957,0.847661,0.596799,0.509534,0.793518
cvae,3,299.943,299.333,300.605,299.5,True,23.1585,22.654,23.6627,23.5951,True,0.627649,0.50622,0.825521,0.563035,0.50458,0.697179
cvae,4,302.463,301.823,303.123,302.4,True,25.9855,25.4938,26.4614,25.6718,True,0.63566,0.506351,0.829998,0.585853,0.506937,0.754222
cvae,5,300.74,300.082,301.391,300.3,True,22.4438,21.9358,22.986,22.5485,True,0.631399,0.505563,0.836193,0.569884,0.504326,0.738774
cvae,6,297.697,297.03,298.343,296.75,False,24.9654,24.4683,25.435,26.0087,False,0.637079,0.506982,0.840667,0.576636,0.503943,0.726882
cvae,7,300.701,300.05,301.342,300,False,24.4348,23.9436,24.9293,25.4046,False,0.647799,0.510335,0.842293,0.599525,0.508239,0.778581
cvae,8,299.529,298.88,300.19,298,False,25.932,25.459,26.4221,27.0311,False,0.637389,0.507637,0.826965,0.572167,0.502212,0.730416
cvae,9,298.252,297.627,298.9,296.95,False,23.8053,23.2921,24.2989,24.6177,False,0.626312,0.506022,0.814924,0.562091,0.502705,0.716103
cvae,10,300.198,299.507,300.87,297.9,False,25.365,24.8714,25.8504,25.8454,True,0.649883,0.507649,0.8443,0.539349,0.503469,0.627736
cvae,11,301.807,301.151,302.408,299.3,False,26.4048,25.9146,26.8958,26.9808,False,0.706553,0.530182,0.869776,0.55283,0.502092,0.687956
cvae,12,311.966,311.282,312.617,308.6,False,22.4656,21.9498,22.988,22.8814,True,0.695359,0.532306,0.868181,0.548029,0.500619,0.664869
cvae,13,310.804,310.185,311.402,307.75,False,25.0798,24.6118,25.5619,26.5363,False,0.71583,0.535041,0.879335,0.583753,0.502014,0.766381
cvae,14,298.957,298.267,299.593,297.5,False,23.9161,23.4123,24.3864,25.6494,False,0.690403,0.527242,0.862277,0.57671,0.505017,0.725976
cvae,15,299.35,298.648,300.002,297.6,False,25.0647,24.5435,25.5545,24.9299,True,0.635379,0.507053,0.822451,0.551391,0.503554,0.679028
cvae,16,300.792,300.169,301.405,300,False,24.9138,24.4289,25.4179,26.3441,False,0.642485,0.509742,0.843395,0.58567,0.504906,0.766081
cvae,17,304.59,303.936,305.244,303.75,False,24.3415,23.8432,24.8342,24.6598,True,0.660921,0.514413,0.854863,0.580039,0.507121,0.745713
cvae,18,297.29,296.665,297.887,296.1,False,27.2655,26.7912,27.7593,27.6121,True,0.637591,0.505856,0.835276,0.540721,0.498997,0.65124
cvae,19,292.504,291.829,293.142,291.9,True,26.313,25.8437,26.7772,26.8497,False,0.637095,0.504218,0.82406,0.556424,0.496551,0.721234
